Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Burundi,BDI,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,698233,..,..,..,..,..,..,..,..,..,..,703998,..,..,..,..,..,..,..,..,..,502379,..,..,..,..,..,..,..,1008167,..,..,..,..,..,797949,..,..,683416,..,..,..
Cabo Verde,CPV,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20604,..,..,..,..,..,..,..,..,..,18284,..,..,..,..,..,..,..,..,..,..,..,16588,..,..,15271,..,..,..,..,..
Cambodia,KHM,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,621785,..,..,..,..,..,587002,..,..,..,645710,710511,..,..,..,..,755581,683262,..,..,..,..,..
Cameroon,CMR,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,956960,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,873490,..,..,..,..,..,..,1091709,..,..,1230028,..,..,..,..,..,..,..,1248309,..,..
Canada,CAN,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Caribbean small states,CSS,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,321855,325282,324319,323853,323398,320066,331322,317469,314200,311159,308241,305211,300879,300131,291823,289121,287911,284555,281959,281284,275150,272528,273589,..,..,..,..,..
Cayman Islands,CYM,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,259,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,390528,..,..,..,..,..,..,..,..,..,..,..,..,385374,..,..,..,..,..,..,..,..,..,..,..,333256,..,..,..,..,..,..,..,..,..,591721,..,..,..,..,..,..,..,642926,..,..
Central Europe and the Baltics,CEB,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,388478,386037,380654,376643,374977,370998,406070,398600,390982,386942,379809,374944,369565,363829,359897,356701,345339,379010,371087,369813,369108,370658,371345,371019,373584,372875,364305,306416,303059,299906,298531,297838,295933,293643,291123,..,..,..,..
Chad,TCD,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1367458,..,..,..,..,..,..,1245940,..,..,..,1481315,..,..,..,..,..,..,..,..,..,..,2232048,2599540,..,..,..,..
