Year,Completion Rate for upper secondary Edu,Childhood Education GER,"Gross enrolment ratio, early childhood educational development programmes",Literacy rate for 25-64 years old,Expenditure on education as a percentage of total government expenditure (%),Government expenditure on education as a percentage of GDP (%),Central Asia,Central and Southern Asia,Eastern and South-Eastern Asia,Europe and Northern America,Latin America and the Caribbean,Northern Africa and Western Asia,Oceania,Southern Asia,Sub-Saharan Africa,Gender_numerical
2016,96.86,47.34855833333333,5.87166237113402,68.735,14.978080536912753,4.11353982300885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2016,94.13,47.34855833333333,5.87166237113402,68.735,14.978080536912753,4.11353982300885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2017,96.0,47.34855833333333,5.87166237113402,68.735,14.978080536912753,4.11353982300885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2017,92.8,47.34855833333333,5.87166237113402,68.735,14.978080536912753,4.11353982300885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,96.1,47.34855833333333,5.87166237113402,68.735,14.978080536912753,4.11353982300885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2018,92.9,47.34855833333333,5.87166237113402,68.735,14.978080536912753,4.11353982300885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019,96.3,47.34855833333333,5.87166237113402,68.735,23.01,3.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2019,93.0,47.34855833333333,5.87166237113402,68.735,23.01,3.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,96.4,47.34855833333333,5.87166237113402,68.735,28.0,4.11353982300885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020,93.1,47.34855833333333,5.87166237113402,68.735,28.0,4.11353982300885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021,94.18,43.36,0.0,100.0,21.43,4.62,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2021,95.9,44.63,0.0,100.0,21.43,4.62,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012,12.0,47.34855833333333,0.0,68.735,6.49,2.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2012,35.5,47.34855833333333,0.0,68.735,6.49,2.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013,13.7,47.34855833333333,0.0,68.735,7.13,3.45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2013,37.2,47.34855833333333,0.0,68.735,7.13,3.45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2014,15.2,47.34855833333333,0.0,68.735,7.96,3.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2014,38.5,47.34855833333333,0.0,68.735,7.96,3.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2015,14.99,47.34855833333333,0.0,68.735,7.28,3.26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2015,33.52,47.34855833333333,0.0,68.735,7.28,3.26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016,17.6,47.34855833333333,0.0,68.735,8.26,4.54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2016,40.6,47.34855833333333,0.0,68.735,8.26,4.54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2017,18.5,47.34855833333333,0.0,68.735,8.2,4.34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2017,41.5,47.34855833333333,0.0,68.735,8.2,4.34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,19.5,47.34855833333333,0.0,68.735,14.978080536912753,3.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2018,42.4,47.34855833333333,0.0,68.735,14.978080536912753,3.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019,20.5,47.34855833333333,0.0,68.735,14.978080536912753,3.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2019,43.4,47.34855833333333,0.0,68.735,14.978080536912753,3.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,21.5,47.34855833333333,5.87166237113402,68.735,14.978080536912753,2.86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020,44.3,47.34855833333333,5.87166237113402,68.735,14.978080536912753,2.86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012,16.2,47.34855833333333,0.0,47.22,12.28,2.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2012,23.7,47.34855833333333,0.0,57.41,12.28,2.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013,14.97,32.85,0.0,48.92,11.81,1.97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2013,20.03,32.83,0.0,58.57,11.81,1.97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2014,17.47,47.34855833333333,0.0,49.89,13.31,2.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2014,21.25,47.34855833333333,0.0,58.75,13.31,2.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2015,22.8,32.63,0.0,55.19,12.04,1.87,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2015,29.1,32.09,0.0,63.63,12.04,1.87,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016,25.0,36.17,0.0,64.15,13.98,2.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2016,30.7,34.89,0.0,72.01,13.98,2.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2017,27.4,42.48,0.0,65.01,13.85,1.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2017,31.9,41.03,0.0,72.07,13.85,1.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,29.7,41.63,0.0,66.82,11.96,1.66,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2018,32.9,40.04,0.0,72.83,11.96,1.66,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019,27.34,47.34855833333333,0.0,67.77,11.33,1.68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2019,31.57,47.34855833333333,0.0,73.7,11.33,1.68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,33.3,46.83,0.0,68.25,10.39,1.77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020,34.4,44.42,0.0,74.44,10.39,1.77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012,50.2,9.45,0.0,32.93,14.978080536912753,4.11353982300885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2012,56.1,9.88,0.0,61.49,14.978080536912753,4.11353982300885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013,53.1,14.38,0.0,68.735,15.69,5.72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2013,57.5,14.57,0.0,68.735,15.69,5.72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2014,56.0,19.38,0.0,68.735,17.45,6.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2014,59.0,18.02,0.0,68.735,17.45,6.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2015,58.9,23.64,0.0,68.735,18.52,6.27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2015,60.5,22.07,0.0,68.735,18.52,6.27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012,41.2,47.34855833333333,0.0,68.735,13.09,4.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2012,50.3,47.34855833333333,0.0,68.735,13.09,4.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013,43.5,47.34855833333333,0.0,68.735,14.05,3.84,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2013,51.9,47.34855833333333,0.0,68.735,14.05,3.84,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2014,46.1,47.34855833333333,0.0,68.735,15.72,3.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2014,53.7,47.34855833333333,0.0,68.735,15.72,3.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2015,39.58,47.34855833333333,0.0,68.735,16.33,4.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2015,46.48,47.34855833333333,0.0,68.735,16.33,4.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016,39.58,47.34855833333333,0.0,68.735,17.16,4.26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2016,46.48,47.34855833333333,0.0,68.735,17.16,4.26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2017,52.8,62.02,0.0,68.735,13.55,4.31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2017,59.2,59.12,0.0,68.735,13.55,4.31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,54.3,62.34,0.0,68.735,13.07,4.38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2018,60.2,59.11,0.0,68.735,13.07,4.38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019,55.8,64.2,0.0,68.735,15.0,3.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2019,61.1,61.55,0.0,68.735,15.0,3.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,47.66,61.34,0.0,68.735,14.72,4.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020,53.72,60.86,0.0,68.735,14.72,4.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021,47.8,52.27,0.0,68.735,14.65,4.64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2021,53.8,51.16,0.0,68.735,14.65,4.64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012,24.2,110.99,0.0,68.735,14.64,4.97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
