Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Brunei Darussalam,BRN,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6635,6611,6232,5989,6703,6592,6689,6651,6540,6564,6489,6629,6721,6619,6718,6624,6871,6805,6935,7040,7127,6885,..
Bulgaria,BGR,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,112689,108998,103507,102749,104148,103910,104669,106299,106911,107452,109789,112711,115267,117804,121253,123947,124479,119958,116191,113996,..,..
Burkina Faso,BFA,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9930,..,..,..,..,..,..,..,20569,..,21181,..,24782,..,34061,35690,36839,28006,34579,41845,53756,..
Burundi,BDI,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2455,2686,3900,4255,4194,4514,6123,5826,7738,..,..,27581,21417,23217,25933,33390,42694,45487,47181,53135,59270,..
Cabo Verde,CPV,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10121,..,9733,10364,10584,10326,10849,10722,10834,11108,11004,10859,11348,10985,11136,11175,11815,11795,11648,11843,..,..
Cambodia,KHM,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27696,32368,38848,44032,..,..,..,57108,..,..,..,92372,..,96456,..,..,..,..,..,..,..,..
Cameroon,CMR,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53637,61917,63010,66564,69643,88789,97083,97893,108857,131486,143005,157839,168651,193197,..,232966,261396,277941,263755,257879,271003,..
Canada,CAN,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Caribbean small states,CSS,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,663,505,506,..,..,543,434,489,..,..,..,..,..,930,991,..,..,..,..,1022,..,..
Central African Republic,CAF,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2928,..,5995,5973,..,7640,8390,..,10455,..,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11972,9935,..,9447,5603,7379,5837,8702,8926,..
Channel Islands,CHI,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,222178,229690,229711,..,214559,201058,201309,206921,202129,203467,200195,205655,267503,280989,286136,378061,390158,397159,401737,405250,408695,..,..
China,CHN,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12880896,12548940,12101135,11043143,11133671,..,..,..,12486753,12970355,13634353,14596872,16240664,18455494,19786322,20964619,21746247,22862794,23577181,24510701,24797178,..
Colombia,COL,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,499736,522209,541640,537735,543546,..,542973,569373,562627,547293,..,..,..,..,..,..,..,..,..,..,..,..,..
Comoros,COM,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7363,6626,..,..,6982,7607,..,..
"Congo, Dem. Rep.",COD,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20424,34209,..,..,..,..,84137,98574,121649,106430,119670,133671,137371,150376,164945,..,..,233133,..,..
"Congo, Rep.",COG,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2338,3219,4681,7353,..,10512,11515,13167,15372,19086,18748,21169,22978,27308,..,..,..,..,..,..,..,..
Costa Rica,CRI,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41356,39795,49141,51061,..,54387,58101,59924,..,58448,59442,58761,59602,59637,61588,62685,62153,61401,62934,75955,74735,..
Cote d'Ivoire,CIV,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18166,19904,21115,22407,24786,..,..,27062,26189,26625,32574,..,37769,45898,56109,64998,72121,80811,86893,89767,93241,..
Croatia,HRV,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48067,50527,50103,52066,51701,46464,46061,46382,47482,48790,49963,51407,52910,53480,66698,68251,70098,70607,74662,72115,..,..
Cuba,CUB,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,433303,418503,424205,425928,..,441606,419144,409363,390118,366726,349918,333226,342848,..,354874,353233,353249,354991,355822,356608,358459,..
Curacao,CUW,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
